z,Bz_numerical,Bz_analytic
0.04371859,0.00001280,0.00001280
0.04472362,0.00001242,0.00001242
0.04572864,0.00001205,0.00001205
0.04673367,0.00001170,0.00001170
0.04773869,0.00001135,0.00001135
0.04874372,0.00001101,0.00001101
0.04974874,0.00001069,0.00001069
0.05075377,0.00001037,0.00001037
0.05175879,0.00001006,0.00001006
0.05276382,0.00000976,0.00000976
0.05376884,0.00000947,0.00000947
0.05477387,0.00000919,0.00000919
0.05577889,0.00000892,0.00000892
0.05678392,0.00000866,0.00000866
0.05778894,0.00000840,0.00000840
0.05879397,0.00000816,0.00000816
0.05979899,0.00000792,0.00000792
0.06080402,0.00000769,0.00000769
0.06180905,0.00000746,0.00000746
0.06281407,0.00000725,0.00000725
0.06381910,0.00000704,0.00000704
0.06482412,0.00000683,0.00000683
0.06582915,0.00000664,0.00000664
0.06683417,0.00000645,0.00000645
0.06783920,0.00000627,0.00000627
0.06884422,0.00000609,0.00000609
0.06984925,0.00000592,0.00000592
0.07085427,0.00000575,0.00000575
0.07185930,0.00000559,0.00000559
0.07286432,0.00000543,0.00000543
0.07386935,0.00000528,0.00000528
0.07487437,0.00000514,0.00000514
0.07587940,0.00000500,0.00000500
0.07688442,0.00000486,0.00000486
0.07788945,0.00000473,0.00000473
0.07889447,0.00000460,0.00000460
0.07989950,0.00000448,0.00000448
0.08090452,0.00000436,0.00000436
0.08190955,0.00000424,0.00000424
0.08291457,0.00000413,0.00000413
0.08391960,0.00000402,0.00000402
0.08492462,0.00000392,0.00000392
0.08592965,0.00000382,0.00000382
0.08693467,0.00000372,0.00000372
0.08793970,0.00000362,0.00000362
0.08894472,0.00000353,0.00000353
0.08994975,0.00000344,0.00000344
0.09095477,0.00000335,0.00000335
0.09195980,0.00000327,0.00000327
0.09296482,0.00000319,0.00000319
0.09396985,0.00000311,0.00000311
0.09497487,0.00000303,0.00000303
0.09597990,0.00000296,0.00000296
0.09698492,0.00000289,0.00000289
0.09798995,0.00000282,0.00000282
0.09899497,0.00000275,0.00000275
0.10000000,0.00000268,0.00000268
