x,Bx,By,Bz
-0.04874372,-0.00000306,0.00000000,0.00040801
-0.04773869,-0.00000095,0.00000000,0.00023658
-0.04673367,-0.00000046,-0.00000000,0.00017010
-0.04572864,-0.00000027,-0.00000000,0.00013466
-0.04472362,-0.00000018,-0.00000000,0.00011258
-0.04371859,-0.00000013,-0.00000000,0.00009748
-0.04271357,-0.00000009,-0.00000000,0.00008648
-0.04170854,-0.00000007,-0.00000000,0.00007812
-0.04070352,-0.00000006,0.00000000,0.00007154
-0.03969849,-0.00000005,-0.00000000,0.00006623
-0.03869347,-0.00000004,0.00000000,0.00006185
-0.03768844,-0.00000003,-0.00000000,0.00005818
-0.03668342,-0.00000003,-0.00000000,0.00005506
-0.03567839,-0.00000002,-0.00000000,0.00005238
-0.03467337,-0.00000002,0.00000000,0.00005004
-0.03366834,-0.00000002,0.00000000,0.00004800
-0.03266332,-0.00000002,0.00000000,0.00004620
-0.03165829,-0.00000002,-0.00000000,0.00004460
-0.03065327,-0.00000001,-0.00000000,0.00004317
-0.02964824,-0.00000001,-0.00000000,0.00004188
-0.02864322,-0.00000001,0.00000000,0.00004073
-0.02763819,-0.00000001,-0.00000000,0.00003968
-0.02663317,-0.00000001,0.00000000,0.00003873
-0.02562814,-0.00000001,0.00000000,0.00003787
-0.02462312,-0.00000001,0.00000000,0.00003708
-0.02361809,-0.00000001,-0.00000000,0.00003636
-0.02261307,-0.00000001,0.00000000,0.00003570
-0.02160804,-0.00000001,0.00000000,0.00003510
-0.02060302,-0.00000001,-0.00000000,0.00003455
-0.01959799,-0.00000000,0.00000000,0.00003404
-0.01859296,-0.00000000,-0.00000000,0.00003358
-0.01758794,-0.00000000,-0.00000000,0.00003315
-0.01658291,-0.00000000,0.00000000,0.00003276
-0.01557789,-0.00000000,0.00000000,0.00003240
-0.01457286,-0.00000000,0.00000000,0.00003208
-0.01356784,-0.00000000,-0.00000000,0.00003178
-0.01256281,-0.00000000,-0.00000000,0.00003151
-0.01155779,-0.00000000,0.00000000,0.00003127
-0.01055276,-0.00000000,-0.00000000,0.00003105
-0.00954774,-0.00000000,-0.00000000,0.00003085
-0.00854271,-0.00000000,-0.00000000,0.00003068
-0.00753769,-0.00000000,-0.00000000,0.00003052
-0.00653266,-0.00000000,-0.00000000,0.00003039
-0.00552764,-0.00000000,-0.00000000,0.00003028
-0.00452261,-0.00000000,0.00000000,0.00003019
-0.00351759,-0.00000000,-0.00000000,0.00003011
-0.00251256,-0.00000000,0.00000000,0.00003006
-0.00150754,-0.00000000,0.00000000,0.00003002
-0.00050251,-0.00000000,-0.00000000,0.00003000
0.00050251,0.00000000,0.00000000,0.00003000
0.00150754,0.00000000,0.00000000,0.00003002
0.00251256,0.00000000,-0.00000000,0.00003006
0.00351759,0.00000000,-0.00000000,0.00003011
0.00452261,0.00000000,-0.00000000,0.00003019
0.00552764,0.00000000,0.00000000,0.00003028
0.00653266,0.00000000,0.00000000,0.00003039
0.00753769,0.00000000,-0.00000000,0.00003052
0.00854271,0.00000000,0.00000000,0.00003068
0.00954774,0.00000000,-0.00000000,0.00003085
0.01055276,0.00000000,-0.00000000,0.00003105
0.01155779,0.00000000,0.00000000,0.00003127
0.01256281,0.00000000,0.00000000,0.00003151
0.01356784,0.00000000,0.00000000,0.00003178
0.01457286,0.00000000,-0.00000000,0.00003208
0.01557789,0.00000000,-0.00000000,0.00003240
0.01658291,0.00000000,0.00000000,0.00003276
0.01758794,0.00000000,-0.00000000,0.00003315
0.01859296,0.00000000,0.00000000,0.00003358
0.01959799,0.00000000,-0.00000000,0.00003404
0.02060302,0.00000001,0.00000000,0.00003455
0.02160804,0.00000001,-0.00000000,0.00003510
0.02261307,0.00000001,0.00000000,0.00003570
0.02361809,0.00000001,0.00000000,0.00003636
0.02462312,0.00000001,-0.00000000,0.00003708
0.02562814,0.00000001,0.00000000,0.00003787
0.02663317,0.00000001,0.00000000,0.00003873
0.02763819,0.00000001,0.00000000,0.00003968
0.02864322,0.00000001,0.00000000,0.00004073
0.02964824,0.00000001,-0.00000000,0.00004188
0.03065327,0.00000001,-0.00000000,0.00004317
0.03165829,0.00000002,-0.00000000,0.00004460
0.03266332,0.00000002,-0.00000000,0.00004620
0.03366834,0.00000002,0.00000000,0.00004800
0.03467337,0.00000002,-0.00000000,0.00005004
0.03567839,0.00000002,-0.00000000,0.00005238
0.03668342,0.00000003,0.00000000,0.00005506
0.03768844,0.00000003,0.00000000,0.00005818
0.03869347,0.00000004,-0.00000000,0.00006185
0.03969849,0.00000005,-0.00000000,0.00006623
0.04070352,0.00000006,-0.00000000,0.00007154
0.04170854,0.00000007,-0.00000000,0.00007812
0.04271357,0.00000009,-0.00000000,0.00008648
0.04371859,0.00000013,-0.00000000,0.00009748
0.04472362,0.00000018,-0.00000000,0.00011258
0.04572864,0.00000027,-0.00000000,0.00013466
0.04673367,0.00000046,0.00000000,0.00017010
0.04773869,0.00000095,-0.00000000,0.00023658
0.04874372,0.00000306,0.00000000,0.00040801
0.04974874,0.00007572,0.00000000,0.00193327
0.05075377,0.00000834,0.00000000,-0.00060366
0.05175879,0.00000151,0.00000000,-0.00024612
0.05276382,0.00000061,-0.00000000,-0.00014979
0.05376884,0.00000032,-0.00000000,-0.00010540
0.05477387,0.00000020,-0.00000000,-0.00008003
0.05577889,0.00000013,0.00000000,-0.00006370
0.05678392,0.00000010,0.00000000,-0.00005236
0.05778894,0.00000007,-0.00000000,-0.00004407
0.05879397,0.00000006,0.00000000,-0.00003775
0.05979899,0.00000004,-0.00000000,-0.00003281
0.06080402,0.00000004,-0.00000000,-0.00002884
0.06180905,0.00000003,-0.00000000,-0.00002559
0.06281407,0.00000002,0.00000000,-0.00002289
0.06381910,0.00000002,0.00000000,-0.00002062
0.06482412,0.00000002,0.00000000,-0.00001868
0.06582915,0.00000002,0.00000000,-0.00001701
0.06683417,0.00000001,0.00000000,-0.00001557
0.06783920,0.00000001,-0.00000000,-0.00001430
0.06884422,0.00000001,0.00000000,-0.00001319
0.06984925,0.00000001,-0.00000000,-0.00001220
0.07085427,0.00000001,-0.00000000,-0.00001132
0.07185930,0.00000001,0.00000000,-0.00001054
0.07286432,0.00000001,0.00000000,-0.00000983
0.07386935,0.00000001,-0.00000000,-0.00000919
0.07487437,0.00000001,0.00000000,-0.00000861
0.07587940,0.00000000,-0.00000000,-0.00000808
0.07688442,0.00000000,0.00000000,-0.00000761
0.07788945,0.00000000,-0.00000000,-0.00000717
0.07889447,0.00000000,-0.00000000,-0.00000676
0.07989950,0.00000000,-0.00000000,-0.00000639
0.08090452,0.00000000,0.00000000,-0.00000605
0.08190955,0.00000000,0.00000000,-0.00000574
0.08291457,0.00000000,-0.00000000,-0.00000544
0.08391960,0.00000000,0.00000000,-0.00000517
0.08492462,0.00000000,0.00000000,-0.00000492
0.08592965,0.00000000,-0.00000000,-0.00000469
0.08693467,0.00000000,0.00000000,-0.00000447
0.08793970,0.00000000,0.00000000,-0.00000426
0.08894472,0.00000000,0.00000000,-0.00000407
0.08994975,0.00000000,-0.00000000,-0.00000389
0.09095477,0.00000000,0.00000000,-0.00000372
0.09195980,0.00000000,-0.00000000,-0.00000357
0.09296482,0.00000000,-0.00000000,-0.00000342
0.09396985,0.00000000,-0.00000000,-0.00000328
0.09497487,0.00000000,0.00000000,-0.00000315
0.09597990,0.00000000,0.00000000,-0.00000302
0.09698492,0.00000000,0.00000000,-0.00000290
0.09798995,0.00000000,0.00000000,-0.00000279
0.09899497,0.00000000,-0.00000000,-0.00000269
0.10000000,0.00000000,-0.00000000,-0.00000259
